City,ZCTA,CDRegion,MSA,County,Companies2007,Companies2008,Companies2009,Companies2010,Companies2011,Companies2012,Companies2013,Companies2014,Companies2015,Companies2016,Companies2017,Companies2018,Companies2019,Companies2020,Latitude,Longitude
Cedartown,30125.0,Northwest,"Cedartown, GA",Polk County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34.0124425,-85.2559398
Centerville,31028.0,West,"Warner Robins, GA",Houston County,0,0,0,0,0,0,0,0,0,0,0,1,0,2,32.630145,-83.6896285
Chamblee,30341.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,1,0,0,0,0,0,1,0,0,0,0,0,0,0,33.892176,-84.29882959999999
Chatsworth,30705.0,Northwest,"Dalton, GA",Murray County,0,0,0,0,1,0,0,0,0,0,0,0,1,1,34.76659420000001,-84.7698842
Chickamauga,30707.0,Northwest,"Chattanooga, TN-GA",Walker County,0,1,0,0,0,0,1,0,0,0,0,0,0,0,34.871149700000004,-85.29024720000001
Clarkesville,30523.0,Northeast,"Cornelia, GA",Habersham County,1,0,0,0,0,0,0,1,0,0,0,0,0,0,34.6125971,-83.5248933
Clarkston,30021.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,0,0,1,0,0,0,1,0,0,0,0,0,0,2,33.8095487,-84.2396434
Claxton,30417.0,Coastal,0,Evans County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.1615815,-81.9040047
Cochran,31014.0,West,0,Bleckley County,0,0,0,1,0,1,0,0,0,0,0,0,0,1,32.3868278,-83.3546098
Colbert,30628.0,Northeast,"Athens-Clarke County, GA",Madison County,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34.0378903,-83.2126517
College Park,30337.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0,1,1,2,0,2,0,1,0,0,0,0,0,10,33.6534427,-84.4493725
Columbus,31901.0,West,"Columbus, GA-AL",Muscogee County,2,5,3,1,0,2,0,1,2,2,2,4,4,6,32.4609764,-84.9877094
Commerce,30529.0,Northeast,"Jefferson, GA",Jackson County,1,0,0,0,0,0,0,0,0,0,0,0,0,2,34.203996999999994,-83.4571058
Concord,31719.0,West,"Americus, GA",Sumter County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.1401594,-84.3813028
Conley,30288.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,1,1,0,1,0,0,0,0,0,0,0,0,2,0,33.6448311,-84.3257571
Conyers,30012.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Rockdale County,1,1,2,1,0,2,0,0,0,1,1,0,0,2,33.66761029999999,-84.0176904
Cordele,31015.0,West,"Cordele, GA",Crisp County,2,1,0,0,0,0,0,0,0,0,0,0,0,2,31.963507399999997,-83.7823938
Covington,30014.0,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Newton County,1,0,2,0,2,0,0,0,0,0,0,1,0,3,33.5967815,-83.86018270000001
Cumming,30040.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,0,1,0,0,0,1,0,0,0,0,0,0,0,7,34.2073196,-84.14019259999999
Cuthbert,39840.0,South,0,Randolph County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.7712748,-84.7893658
Dacula,30019.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.988716499999995,-83.8979573
Dahlonega,30533.0,Northeast,0,Lumpkin County,0,2,0,0,0,0,0,1,0,0,0,1,0,1,34.5328484,-83.9845723
Dallas,30132.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Paulding County,0,0,0,1,0,1,1,0,0,0,0,0,0,0,33.9237141,-84.8407732
Dalton,30720.0,Northwest,"Dalton, GA",Whitfield County,2,2,1,0,3,0,0,0,1,1,0,0,2,4,34.769186700000006,-84.9702475
Dawson,30534.0,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Dawson County,1,0,0,0,0,0,0,0,1,0,0,1,0,0,34.407708500000005,-84.1356771
Dawsonville,30534.0,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Dawson County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.4212053,-84.1190804
Dearing,30808.0,East,"Augusta-Richmond County, GA-SC",McDuffie County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4131947,-82.3851255
Decatur,30030.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,1,2,1,1,1,0,0,3,1,0,3,0,0,3,33.7737582,-84.29606899999999
Doraville,30340.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,0,3,0,0,2,0,0,1,0,0,0,0,1,0,33.898157899999994,-84.2832564
Douglas,30135.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Douglas County,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33.6995565,-84.7622973
Douglasville,30134.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Douglas County,0,0,1,0,0,1,1,0,0,0,0,1,0,5,33.7514966,-84.7477136
Dry Branch,31066.0,West,"Macon-Bibb County, GA",Crawford County,0,1,1,0,0,0,0,0,0,0,0,0,0,0,32.772308,-84.044416
Dublin,31021.0,Central,"Dublin, GA",Laurens County,2,0,3,0,2,0,0,0,0,0,0,1,3,0,32.5404447,-82.903754
Duluth,30096.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1,3,5,4,1,1,4,3,3,0,3,0,0,4,34.0028569,-84.14410459999999
Dunwoody,30338.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,0,0,0,0,0,0,0,0,0,0,0,1,0,2,33.948364899999994,-84.334963
East Point,30344.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0,4,0,0,1,1,1,1,1,0,0,0,0,3,33.6795531,-84.43937240000001
Eastman,31023.0,Central,0,Dodge County,0,0,1,0,0,0,0,0,0,0,0,0,0,1,32.1976729,-83.1776514
Eatonton,31024.0,East,0,Putnam County,0,0,1,0,0,1,0,0,0,0,0,0,0,1,33.326799699999995,-83.38849609999998
Elberton,30635.0,Northeast,0,Elbert County,1,2,2,0,0,1,0,1,0,0,0,0,0,0,34.111222600000005,-82.8670839
Ellaville,31806.0,West,"Americus, GA",Schley County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.2382139,-84.30907979999999
Ellenwood,30294.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,0,0,0,0,0,0,0,0,0,0,1,0,1,1,33.6101096,-84.28797800000001
Ellijay,30540.0,Northwest,0,Gilmer County,0,1,0,0,0,0,0,0,0,1,0,0,0,1,34.6950278,-84.48273940000001
Eton,30705.0,Northwest,"Dalton, GA",Murray County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.8247425,-84.7632713
Evans,30417.0,Coastal,0,Evans County,0,0,1,0,0,0,0,0,1,0,0,0,0,2,32.1613648,-81.8980725
Fairburn,30213.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0,0,0,0,0,0,0,0,0,0,1,0,1,2,33.5670562,-84.5810418
Fayetteville,30214.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fayette County,0,0,0,0,0,2,0,0,1,0,0,1,1,2,33.4487257,-84.4549262
Fitzgerald,31750.0,South,"Fitzgerald, GA",Ben Hill County,2,1,0,1,1,0,0,0,0,1,0,0,0,0,31.7149082,-83.2526545
Flowery Branch,30542.0,Northeast,"Gainesville, GA",Hall County,1,0,0,0,0,0,0,0,1,0,0,0,0,1,34.185101700000004,-83.9251809
Folkston,31537.0,Coastal,0,Charlton County,0,0,1,0,0,0,0,0,0,0,0,0,0,1,30.830581800000004,-82.00978459999999
Forest Park,30297.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,0,2,0,0,2,2,1,1,1,1,1,0,1,1,33.6220542,-84.36909179999999
Forsyth,30040.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,0,1,0,0,1,1,0,0,0,0,1,0,0,0,34.235309,-84.13356440000001
Fort Benning,31905.0,West,"Columbus, GA-AL",Chattahoochee County,0,1,0,2,1,0,1,2,4,0,2,0,3,1,32.3523691,-84.9688191
Fort Gaines,39851.0,South,0,Clay County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.609056899999995,-85.0471505
Fort Gordon,30905.0,East,"Augusta-Richmond County, GA-SC",Richmond County,1,0,1,0,1,3,0,0,0,0,1,0,1,0,33.420972,-82.1620645
