City,ZCTA,CDRegion,MSA,County,Companies2007,Companies2008,Companies2009,Companies2010,Companies2011,Companies2012,Companies2013,Companies2014,Companies2015,Companies2016,Companies2017,Companies2018,Companies2019,Companies2020,Latitude,Longitude
Peachtree City,30269.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fayette County,0,0,1,1,0,1,1,1,0,0,0,0,0,5,33.3967829,-84.59576290000001
Peachtree Corners,30092.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33.9701009,-84.2215869
Pelham,31779.0,South,0,Mitchell County,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31.127482,-84.152113
Pendergrass,30567.0,Northeast,"Jefferson, GA",Jackson County,1,0,1,0,1,1,0,0,1,1,0,0,0,0,34.1623292,-83.67794740000001
Perry,31069.0,West,"Warner Robins, GA",Houston County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.4586695,-83.7319658
Pine Mountain Vally,31822.0,West,"Columbus, GA-AL",Harris County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.850077,-84.846327
Pooler,31322.0,Coastal,"Savannah, GA",Chatham County,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32.1158983,-81.24951309999999
Portal,30450.0,Coastal,"Statesboro, GA",Bulloch County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.538222,-81.9323384
Preston,31824.0,West,0,Webster County,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32.0659918,-84.537417
Quitman,39854.0,South,"Eufaula, AL-GA",Quitman County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8769847,-85.0154412
Rabun Gap,30568.0,Northeast,0,Rabun County,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34.9472664,-83.3978194
Richmond,30815.0,East,"Augusta-Richmond County, GA-SC",Richmond County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.385076,-82.09207959
Richmond Hill,31324.0,Coastal,"Savannah, GA",Bryan County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.9382381,-81.3035515
Ringgold,30736.0,Northwest,"Chattanooga, TN-GA",Catoosa County,0,1,1,1,0,0,0,0,0,0,0,0,0,0,34.91591,-85.1091173
Riverdale,30274.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Clayton County,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33.5726113,-84.4132594
Roberta,31078.0,West,"Macon-Bibb County, GA",Crawford County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.7219973,-84.0130926
Robins Air Force Base,31098.0,West,"Warner Robins, GA",Houston County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32.617825800000006,-83.57707459
Rockmart,30153.0,Northwest,"Cedartown, GA",Polk County,0,0,0,0,0,0,0,1,0,2,0,0,0,0,34.0026005,-85.0416133
Rome,30161.0,Northwest,"Rome, GA",Floyd County,3,3,3,2,4,0,0,3,3,4,1,2,0,3,34.257038,-85.16467259999999
Roopville,30170.0,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.4565021,-85.13077790000001
Rossville,30741.0,Northwest,"Chattanooga, TN-GA",Walker County,0,2,0,0,0,0,0,0,0,0,0,0,0,0,34.983376,-85.28603000000001
Roswell,30075.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,1,1,0,1,0,1,0,1,0,1,2,1,1,7,34.02332,-84.360022
Royston,30662.0,Northeast,0,Franklin County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.2870503,-83.1101483
Sandersville,31082.0,East,0,Washington County,0,1,4,0,0,0,0,0,0,0,0,0,1,0,32.9832812,-82.8116031
Sandy Springs,30328.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,1,0,1,0,0,0,0,1,0,0,0,0,0,2,33.92426879999999,-84.37853790000001
Savannah,31401.0,Coastal,"Savannah, GA",Chatham County,0,3,4,3,4,2,2,1,3,1,0,3,2,26,32.0809263,-81.09117679999999
Shannon,30161.0,Northwest,"Rome, GA",Floyd County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34.3422495,-85.08579182
Silver Creek,30161.0,Northwest,"Rome, GA",Floyd County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.242305,-85.174276
Smyrna,30080.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,0,0,1,1,0,1,1,2,3,0,1,1,1,5,33.883887,-84.51474540000001
Snellville,30078.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33.857328,-84.0199108
Social Circle,30025.0,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County,1,0,0,0,0,0,0,0,0,0,1,0,0,0,33.6561723,-83.7184579
Soperton,30457.0,Central,0,Treutlen County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32.3771182,-82.5923554
St. Simons Island,31522.0,Coastal,"Brunswick, GA",Glynn County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.218286300000003,-81.36120770000001
Statesboro,30458.0,Coastal,"Statesboro, GA",Bulloch County,0,0,1,0,0,0,0,0,0,1,0,0,0,0,32.4490141,-81.78329120000001
Statham,30666.0,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.9654884,-83.5964913
Stillmore,30471.0,Central,0,Emanuel County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.442115,-82.2151233
Stockbridge,30281.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,0,1,0,0,0,0,0,0,0,0,0,0,0,3,33.5442781,-84.2338093
Stone Mountain,30083.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,2,1,1,1,1,0,0,0,0,0,3,0,0,5,33.806216600000006,-84.1457505
Stonecrest,30038.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.6831296,-84.1358505
Sugar Hill,30518.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34.1064895,-84.0335197
Suwanee,30024.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1,1,2,0,0,3,3,2,1,3,0,0,0,1,34.0514898,-84.0712997
Swainsboro,30401.0,Central,0,Emanuel County,0,0,0,0,0,0,1,1,1,0,1,0,0,0,32.597385700000004,-82.33373759999999
Sylvania,30467.0,Coastal,0,Screven County,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32.750444099999996,-81.636776
Sylvester,31791.0,South,"Albany, GA",Worth County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.5307349,-83.8354542
Tallapoosa,30176.0,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Haralson County,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33.7442912,-85.2879889
Tennille,31089.0,East,0,Washington County,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.9359886,-82.8115273
Thomaston,30286.0,West,"Thomaston, GA",Upson County,2,1,0,0,0,0,2,0,0,0,0,0,0,0,32.8881879,-84.3265855
Thomasville,31792.0,South,"Thomasville, GA",Thomas County,1,0,0,0,0,0,1,0,0,1,0,1,0,1,30.8365815,-83.9787808
Thompson,31021.0,Central,"Dublin, GA",Laurens County,0,1,0,0,0,0,0,0,0,1,0,1,2,0,32.533763,-82.920462
Tifton,31794.0,South,"Tifton, GA",Tift County,1,2,1,1,0,0,0,0,0,0,0,2,0,0,31.4522765,-83.5096866
Toccoa,30577.0,Northeast,"Toccoa, GA",Stephens County,0,1,0,1,0,0,0,1,0,1,0,0,0,0,34.577436799999994,-83.332881
Toomsboro,31090.0,East,0,Wilkinson County,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32.827003999999995,-83.08022259999998
Trenton,30752.0,Northwest,"Chattanooga, TN-GA",Dade County,0,1,0,0,0,0,0,0,1,0,0,0,0,0,34.8720222,-85.50913
Trion,30753.0,Northwest,"Summerville, GA",Chattooga County,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34.5439735,-85.31051120000001
Tucker,30084.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,1,1,0,2,0,0,1,0,1,0,1,1,1,3,33.8532701,-84.2200729
Unadilla,31091.0,Central,0,Dooly County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.261737800000006,-83.7364358
Union City,30291.0,Metro South,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,0,1,0,0,3,0,0,0,0,0,1,2,1,3,33.587055799999995,-84.54242990000002
Valdosta,31601.0,South,"Valdosta, GA",Lowndes County,2,0,2,0,0,0,0,0,1,1,0,2,0,2,30.8327022,-83.2784851
Vidalia,30474.0,Central,"Vidalia, GA",Toombs County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.217685499999995,-82.4134614
Villa Rica,30180.0,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA",Carroll County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.732052,-84.91910809999999
Wadley,30477.0,East,0,Jefferson County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.8668223,-82.4040162
Warm Springs,31830.0,West,"Atlanta-Sandy Springs-Alpharetta, GA",Meriwether County,0,0,0,0,0,0,1,0,0,0,0,1,0,0,32.8904081,-84.6810381
Warner Robins,31093.0,West,"Warner Robins, GA",Houston County,0,0,0,0,1,0,1,1,0,0,1,1,0,3,32.6200973,-83.60656800000001
Warrington,30084.0,Metro North,"Atlanta-Sandy Springs-Alpharetta, GA",DeKalb County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33.870671200000004,-84.217371
Watkinsville,30677.0,Northeast,"Athens-Clarke County, GA",Oconee County,0,1,0,0,0,0,0,0,0,0,0,0,0,1,33.8628959,-83.40877090000001
Waycross,31501.0,Coastal,"Waycross, GA",Ware County,1,0,0,0,0,0,0,0,0,0,0,1,0,1,31.2135511,-82.3540178
Waynesboro,30830.0,East,"Augusta-Richmond County, GA-SC",Burke County,3,0,0,0,0,2,0,0,0,3,0,0,1,1,33.089873100000005,-82.01567359999999
West Point,31833.0,West,"LaGrange, GA",Troup County,3,0,0,0,0,0,0,0,2,0,0,0,1,0,32.877905600000005,-85.18327459999999
Willacoochee,31650.0,Coastal,0,Atkinson County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.340755100000003,-83.04598259999999
Winder,30680.0,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA",Barrow County,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.9919085,-83.7184368
Woodbine,31569.0,Coastal,"St. Marys, GA",Camden County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.9638429,-81.7226063
Woodstock,30188.0,Metro West,"Atlanta-Sandy Springs-Alpharetta, GA",Cherokee County,0,1,0,0,0,0,0,1,0,0,0,0,0,2,34.1014112,-84.51921920000001
Wrens,30833.0,East,0,Jefferson County,0,0,1,0,0,0,1,0,0,0,0,0,0,0,33.2076456,-82.39179200000001
Young Harris,30582.0,Northeast,0,Towns County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.9331453,-83.8471223
